,titles,images,ratings,prices,product_urls
103,"POCO C65 (Pastel Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/u/8/c65-mzb0g8nin-poco-original-imagw6j2kp5t5jek.jpeg?q=70,4.3,"₹6,999",https://flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_84&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGVVTXZESSZY4W.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
104,"POCO C61 (Diamond Dust Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/o/w/-original-imagzcfjjbheykct.jpeg?q=70,4.1,"₹6,299",https://flipkart.com/poco-c61-diamond-dust-black-64-gb/p/itm4c226215208eb?pid=MOBGYQ6BEZEUPFN6&lid=LSTMOBGYQ6BEZEUPFN6A7DDZ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_85&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGYQ6BEZEUPFN6.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
105,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/o/z/-original-imah4qke9gf7jhfg.jpeg?q=70,4.5,"₹15,999",https://flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-feather-pink-256-gb/p/itma30cb38861d4c?pid=MOBH4GBF36RWE89W&lid=LSTMOBH4GBF36RWE89WP1CQ0N&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_86&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GBF36RWE89W.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
106,"Motorola Edge 50 Fusion (Hot Pink, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/k/l/edge-50-fusion-pb300001in-motorola-original-imahywzpfd2jh9ep.jpeg?q=70,4.5,"₹23,999",https://flipkart.com/motorola-edge-50-fusion-hot-pink-256-gb/p/itm93d002e8a2eb1?pid=MOBGXTYZZBUPYFEC&lid=LSTMOBGXTYZZBUPYFECU3Q95H&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_87&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGXTYZZBUPYFEC.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
107,"SAMSUNG Galaxy S23 FE (Purple, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/f/r/-original-imah5ywfzzjzfkcn.jpeg?q=70,4.3,"₹29,999",https://flipkart.com/samsung-galaxy-s23-fe-purple-128-gb/p/itm03da6b42ff68e?pid=MOBGVTA24G7GHE6M&lid=LSTMOBGVTA24G7GHE6MN4I8LB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_88&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBGVTA24G7GHE6M.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
108,"Motorola G85 5G (Viva Magenta, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/r/x/-original-imah4qt8r3fhczeh.jpeg?q=70,4.4,"₹18,999",https://flipkart.com/motorola-g85-5g-viva-magenta-256-gb/p/itmf175adb582c15?pid=MOBH35ZQGDH68XAJ&lid=LSTMOBH35ZQGDH68XAJHFV9YO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_89&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH35ZQGDH68XAJ.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
109,"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/i/-original-imah4kfuzzxz6tvn.jpeg?q=70,4.4,"₹29,999",https://flipkart.com/motorola-edge-50-pro-5g-125w-charger-caneel-bay-256-gb/p/itm1603f674e2178?pid=MOBH2YWHMKHAFHZF&lid=LSTMOBH2YWHMKHAFHZFUTQD0D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_90&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH2YWHMKHAFHZF.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
110,"Infinix Note 40X 5G (Palm Blue, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/g/c/-original-imah3g32gf2wkdes.jpeg?q=70,4.3,"₹13,999",https://flipkart.com/infinix-note-40x-5g-palm-blue-256-gb/p/itm9c39960257804?pid=MOBH34XGH9JGS3KM&lid=LSTMOBH34XGH9JGS3KMTLDOKR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_91&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH34XGH9JGS3KM.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
111,"realme P1 5G (Feather Blue, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/x/f/-original-imah4khx9u3zxdbk.jpeg?q=70,4.4,"₹18,999",https://flipkart.com/realme-p1-5g-feather-blue-256-gb/p/itmae4447062b5b5?pid=MOBH4GSK9KY3PHFY&lid=LSTMOBH4GSK9KY3PHFYXNBGLF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_92&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBH4GSK9KY3PHFY.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
112,"Motorola Edge 50 Fusion (Forest Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/l/q/-original-imah4k2srpwzpgpa.jpeg?q=70,4.5,"₹21,999",https://flipkart.com/motorola-edge-50-fusion-forest-green-128-gb/p/itm44a2f982e2d64?pid=MOBHYVFVK9NTTND2&lid=LSTMOBHYVFVK9NTTND2PP8RIV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_93&otracker=search&otracker1=search&fm=Search&iid=4770286b-d981-48f7-be8c-d35b15875cae.MOBHYVFVK9NTTND2.SEARCH&ppt=sp&ppn=sp&ssid=y23f8kz7k00000001730665762761&qH=eb4af0bf07c16429
